pair_id,dataset,model,problem_id,cascade_category,annotator_A_failure_type,annotator_B_failure_type,agree,expert_consensus_failure_type,llm_predicted_failure_type,llm_expert_agreement,annotator_A_reason,annotator_B_reason
java656|java906|gpt5|mbpp_0707|Identifier_Sensitivity,java656,gpt5,mbpp_0707,Identifier_Sensitivity,Algorithm Confusion,Algorithm Confusion,yes,Algorithm Confusion,Algorithm Confusion,yes,The model confuses the algorithm for computing the total set bits across all integers from 0 to n with the algorithm for calculating the Hamming weight (population count) of a single integer.,
java656|java906|gpt5|mbpp_0801|Identifier_Sensitivity,java656,gpt5,mbpp_0801,Identifier_Sensitivity,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 correctly describes the exact same functionality, inputs, and outputs as DESCRIPTION 1 without any semantic drift, functional inaccuracy, or",
java656|java906|gpt5|mbpp_0943|Identifier_Sensitivity,java656,gpt5,mbpp_0943,Identifier_Sensitivity,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model correctly identifies the core two-pointer merge algorithm but gets sidetracked by obfuscation/decompilation artifacts, incorporating non-existent anomalies and bugs into its narrative.",
java656|java906|kimi_k25|mbpp_0070|Identifier_Sensitivity,java656,kimi_k25,mbpp_0070,Identifier_Sensitivity,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 accurately describes the exact same functionality, input arguments, return values, and behavior as Description 1 without any errors or omissions.",
java656|java906|llama70b|mbpp_0355|Identifier_Sensitivity,java656,llama70b,mbpp_0355,Identifier_Sensitivity,Algorithm Confusion,Algorithm Confusion,yes,Algorithm Confusion,Algorithm Confusion,yes,"Description 2 confuses the original program's task of counting rectangles within a circle with a completely different problem, counting rectangles in a grid.",
java656|java906|llama70b|mbpp_0380|Identifier_Sensitivity,java656,llama70b,mbpp_0380,Identifier_Sensitivity,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model gets distracted by the obfuscated identifiers and falsely claims the code contains errors regarding undefined variables, weaving the obfuscation artifacts into a narrative about broken code.",
java656|java906|llama70b|mbpp_0400|Identifier_Sensitivity,java656,llama70b,mbpp_0400,Identifier_Sensitivity,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Hallucination,no,"The model gets distracted by obfuscated variable names (`var1_1`, `lllIlllllllllll`) and decompilation artifacts, focusing on debugging structural code details rather than describing the high-level function.","The description gets distracted by obfuscated variable names (`var1_1`, `lllIlllllllllll`) and spends a significant portion discussing code repairs and syntax/decompilation errors rather than focusing purely on the program's intended high-level functionality."
java250|java250|deepseek_v31|p02730|Identifier_Sensitivity,java250,deepseek_v31,p02730,Identifier_Sensitivity,Correct (no failure),Functional Inaccuracy,no,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 correctly conveys the same core algorithm, structure, and input/output behavior as Description 1, merely rephrasing",
java250|java250|deepseek_v31|p02786|Identifier_Sensitivity,java250,deepseek_v31,p02786,Identifier_Sensitivity,Algorithm Confusion,Functional Inaccuracy,no,Algorithm Confusion,Algorithm Confusion,yes,The model mistakes the recursive health-splitting monster attack algorithm for calculating the total number of nodes in a binary tree.,
java250|java250|gemini|p02786|Identifier_Sensitivity,java250,gemini,p02786,Identifier_Sensitivity,Correct (no failure),Obfuscation Narrative,no,Obfuscation Narrative,Obfuscation Narrative,yes,Description 2 accurately describes the exact mathematical function computed by the code ($2^L - 1$ where $L,
java250|java250|gpt35|p02887|Identifier_Sensitivity,java250,gpt35,p02887,Identifier_Sensitivity,Functional Inaccuracy,Algorithm Confusion,no,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 incorrectly claims the code calculates the number of distinct characters in a string, which misrepresents the program's actual function of counting consecutive character groups.",
java250|java250|kimi_k25|p02659|Identifier_Sensitivity,java250,kimi_k25,p02659,Identifier_Sensitivity,Hallucination,Obfuscation Narrative,no,Hallucination,Hallucination,yes,The description incorrectly claims that the code contains a runtime bug resulting in a `NullPointerException` due to uninitialized variables.,The failed description includes details about obfuscated variable names (`Illllllllllllll`) and focuses on structural boilerplate (such as `FastScanner` helper methods and
java250|java250|mistral|p03012|Identifier_Sensitivity,java250,mistral,p03012,Identifier_Sensitivity,Algorithm Confusion,Hallucination,no,Algorithm Confusion,Algorithm Confusion,yes,"The description incorrectly claims the program executes a BFS grid-search algorithm to find shortest paths between 'X' and 'Y' polarities, confusing the actual subarray sum calculation with a completely different graph/grid algorithm due to misleading class names like `bfs` and `Point`.",
java250|java250|o4mini|p02409|Identifier_Sensitivity,java250,o4mini,p02409,Identifier_Sensitivity,Structural Description Only,Semantic Drift,no,Semantic Drift,Functional Inaccuracy,no,"Description 2 focuses purely on generic structural mechanics (3×10 arrays, rows, columns, and categories) without identifying the high-level domain purpose of aggregating elevator usage logs.",
java250|java250|qwencoder32b|p02945|Identifier_Sensitivity,java250,qwencoder32b,p02945,Identifier_Sensitivity,Functional Inaccuracy,Hallucination,no,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 inaccurately describes the branching logic and output behavior, claiming there are five or six potential outcomes and extra array operations rather than the actual three conditional outcomes (sum, difference, or product).",
java250|java250|qwencoder32b|p03011|Identifier_Sensitivity,java250,qwencoder32b,p03011,Identifier_Sensitivity,Obfuscation Narrative,Hallucination,no,Obfuscation Narrative,Obfuscation Narrative,yes,"The model was misled by obfuscated identifiers and dead/unused code into fabricating a detailed, fictional narrative about grid traversal and obstacle navigation that does not",
java656|java906|deepseek_r1|mbpp_0116|Identifier_Sensitivity,java656,deepseek_r1,mbpp_0116,Identifier_Sensitivity,Minimal Code Understanding,Obfuscation Narrative,no,Minimal Code Understanding,Minimal Code Understanding,yes,"DESCRIPTION 2 provides only a superficial high-level summary of the main goal, omitting key operational details, function breakdowns, and edge-case limitations present in DESCRIPTION 1.",
java656|java906|deepseek_r1|mbpp_0876|Identifier_Sensitivity,java656,deepseek_r1,mbpp_0876,Identifier_Sensitivity,Hallucination,Algorithm Misunderstanding,no,Hallucination,Hallucination,yes,"The model hallucinates non-existent syntax constructs and execution bugs (such as a ""`void`-declared increment variable"" and an ""unreachable increment operation""), falsely claiming the code contains critical implementation flaws and results in an infinite loop.",
java656|java906|gemini|mbpp_0570|Identifier_Sensitivity,java656,gemini,mbpp_0570,Identifier_Sensitivity,Correct (no failure),Obfuscation Narrative,no,Obfuscation Narrative,Obfuscation Narrative,yes,DESCRIPTION 2 accurately and concisely captures the exact same functional behavior described in DESCRIPTION 1 without any semantic errors or hallucinations.,"The model includes meta-commentary acknowledging the code as an ""obfuscated utility"" rather than providing a purely functional, unob"
java656|java906|gpt35|mbpp_0250|Identifier_Sensitivity,java656,gpt35,mbpp_0250,Identifier_Sensitivity,Minimal Code Understanding,Correct (no failure),no,Minimal Code Understanding,Minimal Code Understanding,yes,"DESCRIPTION 2 provides a generic high-level summary that repeats the method's basic goal without describing its internal logic, control flow, or implementation details.",
java656|java906|gpt5|mbpp_0894|Identifier_Sensitivity,java656,gpt5,mbpp_0894,Identifier_Sensitivity,Correct (no failure),Obfuscation Narrative,no,Obfuscation Narrative,Obfuscation Narrative,yes,"Description 2 accurately describes the core functionality and intended behavior of converting a comma-separated string into a float array, making it equivalent in understanding to Description 1.",
java250|java250|glm5|p02582|Structural_Fragility,java250,glm5,p02582,Structural_Fragility,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,DESCRIPTION 2 incorrectly states that the program outputs the total count of 'R' characters in the string rather than the maximum number of consecutive 'R' characters.,
java250|java250|gpt35|p03035|Structural_Fragility,java250,gpt35,p03035,Structural_Fragility,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"Description 2 falls back on framing the program as a pedagogical demonstration (""to demonstrate input reading and basic conditional operations"") rather than identifying its underlying functional purpose.","The failed description incorrectly attributes an educational or pedagogical goal to the code (""demonstrate input reading and basic conditional operations in Java""), framing obfuscated/boilerplate logic as an instructional narrative rather than describing its actual algorithmic functionality."
java250|java250|gpt4o|p02681|Structural_Fragility,java250,gpt4o,p02681,Structural_Fragility,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,DESCRIPTION 2 incorrectly states that the strings must contain uppercase letters instead of lowercase ones and misidentifies the exact relationship between strings `S` and `T`.,
java250|java250|kimi_k25|p02681|Structural_Fragility,java250,kimi_k25,p02681,Structural_Fragility,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 correctly identifies the program's main goal and functionality, capturing all conditions (one-character append, string length limits, and uppercase check) accurately and equivalently to DESCRIPTION 1.",
java250|java250|qwen37_plus|p03107|Structural_Fragility,java250,qwen37_plus,p03107,Structural_Fragility,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 accurately describes the program's main goal, input handling, stack simulation, and character cancellation logic identically in semantic meaning to Description 1.",
java656|java906|deepseek_r1|mbpp_0264|Structural_Fragility,java656,deepseek_r1,mbpp_0264,Structural_Fragility,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 reverses the direction of the conversion, stating it calculates human age from dog age rather than human age to dog age.",
java656|java906|deepseek_r1|mbpp_0452|Structural_Fragility,java656,deepseek_r1,mbpp_0452,Structural_Fragility,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 accurately describes the exact same functional logic as Description 1, correctly stating that the loss (n2 - n) is computed only when n2 exceeds n, returning null otherwise.",
java656|java906|deepseek_v31|mbpp_0078|Structural_Fragility,java656,deepseek_v31,mbpp_0078,Structural_Fragility,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,Description 2 correctly and accurately describes the same underlying algorithm and functionality as Description 1 without any functional inaccuracies or omissions.,
java656|java906|deepseek_v31|mbpp_0136|Structural_Fragility,java656,deepseek_v31,mbpp_0136,Structural_Fragility,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,The description incorporates low-level obfuscated helper method names (`I` and `l`) into its narrative explanation rather than abstracting away the obfuscation syntax.,
java656|java906|deepseek_v31|mbpp_0183|Structural_Fragility,java656,deepseek_v31,mbpp_0183,Structural_Fragility,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 correctly identifies the overall pair-counting structure, but incorrectly states that the absolute difference must be *not equal* to the target value, inverting the actual equality logic.",
java656|java906|deepseek_v31|mbpp_0359|Structural_Fragility,java656,deepseek_v31,mbpp_0359,Structural_Fragility,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,DESCRIPTION 2 correctly describes the exact same mathematical logic (2 * n2^2 = 9 * n * n,
java656|java906|gemini|mbpp_0953|Structural_Fragility,java656,gemini,mbpp_0953,Structural_Fragility,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"DESCRIPTION 2 correctly identifies the high-level intent of the program, but makes incorrect assertions about its actual execution mechanics and behavior by claiming a decompilation",
java656|java906|glm5|mbpp_0250|Structural_Fragility,java656,glm5,mbpp_0250,Structural_Fragility,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 correctly identifies the exact same core functionality and main goal as DESCRIPTION 1, which is counting the occurrences of a specific target element within an array.",
java656|java906|glm5|mbpp_0547|Structural_Fragility,java656,glm5,mbpp_0547,Structural_Fragility,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,Algorithm Misunderstanding,Functional Inaccuracy,no,DESCRIPTION 2 incorrectly claims the code does not calculate Hamming,
java656|java906|gpt35|mbpp_0165|Structural_Fragility,java656,gpt35,mbpp_0165,Structural_Fragility,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Algorithm Misunderstanding,no,"Description 2 incorrectly claims the method counts characters that are not uppercase letters, failing to identify the true functionality of counting characters matching their alphabetical positions.",
java656|java906|gpt4o|mbpp_0043|Structural_Fragility,java656,gpt4o,mbpp_0043,Structural_Fragility,Obfuscation Narrative,Obfuscation Narrative,yes,Obfuscation Narrative,Obfuscation Narrative,yes,"The model weaves a narrative around an obfuscated method identifier (`I`), interpreting structural obfuscation artifacts as meaningful functional logic.",
java656|java906|kimi_k25|mbpp_0619|Structural_Fragility,java656,kimi_k25,mbpp_0619,Structural_Fragility,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,Description 2 is functionally equivalent to Description 1 and accurately describes the program's behavior of moving all digit characters to the end of the string while preserving their original relative order.,
java656|java906|llama70b|mbpp_0183|Structural_Fragility,java656,llama70b,mbpp_0183,Structural_Fragility,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,"The model misinterprets the fundamental logical condition executed by the code, incorrectly describing a complex and inaccurate inequality rule instead of the actual pair-difference calculation.",
java656|java906|llama70b|mbpp_0374|Structural_Fragility,java656,llama70b,mbpp_0374,Structural_Fragility,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 falsely claims that the code successfully executes and returns a list of unique permutations, failing to identify that the code contains errors that prevent","The failed description incorrectly claims the code functions properly and returns a list of unique permutations, failing to identify that the code is broken and non-functional due to errors as noted in the succeeded baseline."
java656|java906|llama70b|mbpp_0416|Structural_Fragility,java656,llama70b,mbpp_0416,Structural_Fragility,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 provides an accurate and even more detailed explanation of the BreakSum algorithm (breaking n into halves, thirds, and quarters), which is fully correct and functionally equivalent to Description 1.",
java656|java906|llama70b|mbpp_0592|Structural_Fragility,java656,llama70b,mbpp_0592,Structural_Fragility,Hallucination,Hallucination,yes,Hallucination,Obfuscation Narrative,no,"DESCRIPTION 2 introduces fabricated details about the algorithm and mathematical specifics—such as computing the binomial coefficient $(2n, n-1)$ and using dynamic programming—that are not accurately supported by the code.",
java250|java250|claude_sonnet_5|p02629|Structural_Fragility,java250,claude_sonnet_5,p02629,Structural_Fragility,Functional Inaccuracy,Obfuscation Narrative,no,Functional Inaccuracy,Functional Inaccuracy,yes,"DESCRIPTION 2 incorrectly states that the mapping is shifted such that $a=0, b=1, \dots, z=25",
java250|java250|claude_sonnet_5|p03289|Structural_Fragility,java250,claude_sonnet_5,p03289,Structural_Fragility,Algorithm Confusion,Obfuscation Narrative,no,Algorithm Confusion,Algorithm Confusion,yes,"DESCRIPTION 2 incorrectly identifies the program as solving an ""AtCoDeer and Paint Cans"" / contest problem ID validation task and severely misinterprets the character validation logic.","The failed response gets distracted by describing the obfuscation techniques (e.g., meaningless method names, dead code branches, no-op statements) and"
java250|java250|gpt35|p03545|Structural_Fragility,java250,gpt35,p03545,Structural_Fragility,Functional Inaccuracy,Correct (no failure),no,Functional Inaccuracy,Functional Inaccuracy,yes,Description 2 omits key input constraints (that it must be a 4-digit integer) and inaccurately states the operation as merely,
java250|java250|llama70b|p03478|Structural_Fragility,java250,llama70b,p03478,Structural_Fragility,Structural Description Only,Correct (no failure),no,Structural Description Only,Structural Description Only,yes,"The description focuses almost entirely on the I/O boilerplate (`FastScanner` class, buffering, standard input) and high-level class structure without detailing the",
java250|java250|o4mini|p03073|Structural_Fragility,java250,o4mini,p03073,Structural_Fragility,Correct (no failure),Obfuscation Narrative,no,Obfuscation Narrative,Hallucination,no,"DESCRIPTION 2 correctly explains the algorithm and behavior of the program, accurately describing the mismatch-counting logic and identifying the obfuscated helper methods, making it functionally equivalent to DESCRIPTION 1.",
java250|java250|qwen37_plus|p02832|Structural_Fragility,java250,qwen37_plus,p02832,Structural_Fragility,Algorithm Misunderstanding,Functional Inaccuracy,no,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,"The model misinterprets the program's core logic as finding the minimum deletions to form a contiguous subsequence starting from 1, rather than finding the",
java250|java250|qwen37_plus|p02957|Structural_Fragility,java250,qwen37_plus,p02957,Structural_Fragility,Correct (no failure),Obfuscation Narrative,no,Obfuscation Narrative,Obfuscation Narrative,yes,DESCRIPTION 2 accurately describes the exact same functional logic and behavior as DESCRIPTION 1 without any inaccuracies or errors.,"The failed description explicitly references the code's obfuscation (""heavily obfuscated fast I/O reader class"") rather than focusing purely on the functional logic."
java656|java906|gemini|mbpp_0350|Structural_Fragility,java656,gemini,mbpp_0350,Structural_Fragility,Correct (no failure),Hallucination,no,Hallucination,Hallucination,yes,Description 2 accurately details the exact functionality and,The failed description confidently asserts that the code performs specific steps—namely subtracting the highest frequency from the total string length—which are not actually implemented in the
java656|java906|gpt4o|mbpp_0503|Structural_Fragility,java656,gpt4o,mbpp_0503,Structural_Fragility,Algorithm Misunderstanding,Obfuscation Narrative,no,Algorithm Misunderstanding,Functional Inaccuracy,no,"The model incorrectly describes the specific control flow logic and boundary condition handled by the helper function, misinterpreting how the loop condition and index checks",
java656|java906|gpt4o|mbpp_0628|Structural_Fragility,java656,gpt4o,mbpp_0628,Structural_Fragility,Correct (no failure),Hallucination,no,Hallucination,Hallucination,yes,"DESCRIPTION 2 correctly identifies the core functionality (URL encoding spaces as ""%20"" after trimming, with a 1000-character","The failed description incorrectly claims the code includes helper methods for comparison operations, which are non-existent artifacts introduced by the obfuscation structure."
java656|java906|gpt4o|mbpp_0692|Structural_Fragility,java656,gpt4o,mbpp_0692,Structural_Fragility,Obfuscation Narrative,Functional Inaccuracy,no,Obfuscation Narrative,Obfuscation Narrative,yes,The model accepts the obfuscated artifact methods `I` and `l` and the faulty constraint (`n < 10` returning `null`),"The failed description incorrectly asserts that the method successfully computes the factorial modulo 100 in a loop to keep the last two digits, whereas the code actually"
java656|java906|gpt5|mbpp_0158|Structural_Fragility,java656,gpt5,mbpp_0158,Structural_Fragility,Correct (no failure),Minimal Code Understanding,no,Minimal Code Understanding,Minimal Code Understanding,yes,"DESCRIPTION 2 accurately captures the core goal and logic of max-value equalization with fixed-step increments (using n2 as the increment parameter), making it functionally equivalent to DESCRIPTION 1.",
java656|java906|gpt5|mbpp_0510|Structural_Fragility,java656,gpt5,mbpp_0510,Structural_Fragility,Functional Inaccuracy,Correct (no failure),no,Functional Inaccuracy,Functional Inaccuracy,yes,Description 2 presents the obfuscated/decompiled code as a fully functional dynamic programming solution without recognizing the critical code defects (such as un,
java250|java250|deepseek_v31|p02712|Comment_Dependency,java250,deepseek_v31,p02712,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 provides an accurate and equivalent functional summary of the code's 15-number cycle cumulative sum logic, correctly identifying",
java250|java250|gemini|p02396|Comment_Dependency,java250,gemini,p02396,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 accurately describes the program's logic, input termination condition (""0""), array storage, and output formatting (""Case X: ...",
java250|java250|glm5|p03035|Comment_Dependency,java250,glm5,p03035,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,Description 2 accurately,
java250|java250|gpt5|p02658|Comment_Dependency,java250,gpt5,p02658,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 accurately describes the exact same core functionality, logic, and edge-case handling as Description 1 without any errors or omissions.",
java250|java250|gpt5|p03289|Comment_Dependency,java250,gpt5,p03289,Comment_Dependency,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Algorithm Misunderstanding,no,"Description 2 misstates the exact boundary condition for the character 'C', claiming it can appear anywhere except the first or last character, rather than strictly between the 3rd and penultimate characters.","The failed description incorrectly states that 'C' can appear anywhere except the first or last character, omitting the restriction that 'C' cannot be the second character either (it must be between the 3rd and penultimate characters)."
java250|java250|kimi_k25|p02935|Comment_Dependency,java250,kimi_k25,p02935,Comment_Dependency,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Algorithm Misunderstanding,no,"DESCRIPTION 2 correctly details the step-by-step code execution (sorting in ascending order and iteratively averaging), but incorrectly claims the function computes the minimum/smallest possible final value instead of the maximum/largest.",
java250|java250|llama70b|p02694|Comment_Dependency,java250,llama70b,p02694,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,DESCRIPTION 2 provides an accurate high-level functional summary of the program's logic (calculating the number of compounding,
java250|java250|mistral|p00001|Comment_Dependency,java250,mistral,p00001,Comment_Dependency,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,Description 2 incorrectly claims that the program prints the indices of the top three highest elements rather than their actual height values.,
java250|java250|mistral|p00002|Comment_Dependency,java250,mistral,p00002,Comment_Dependency,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,"Description 2 correctly identifies the structure and range-checking logic, but fails to recognize that these checks calculate the number of digits in the sum, misinterpreting the overall mathematical intent as arbitrary range classification.",
java250|java250|mistral|p03136|Comment_Dependency,java250,mistral,p03136,Comment_Dependency,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,"The model completely misinterprets the core logic and control flow, claiming the code continuously reads character-by-character until an integer is encountered rather than parsing an array of size $n$, sorting it, and comparing the sum of the first $n-1$ elements to the maximum.",
java250|java250|o4mini|p02621|Comment_Dependency,java250,o4mini,p02621,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 accurately describes all four program functionalities (calculating $a + a^2 + a^3$, finding change mod 1000, counting submission verdicts, and enumerating black-cell grid subsets via bit-masking) and is functionally equivalent to Description 1.",
java250|java250|o4mini|p02786|Comment_Dependency,java250,o4mini,p02786,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 accurately describes the exact same recurrence relation, memoized recursion, and overall behavior of the program as Description 1.",
java250|java250|o4mini|p03239|Comment_Dependency,java250,o4mini,p03239,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 accurately describes the exact same core functionality and main goal as Description 1 without any errors, missing logic, or hallucinations.",
java656|java906|claude_sonnet_5|mbpp_0125|Comment_Dependency,java656,claude_sonnet_5,mbpp_0125,Comment_Dependency,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 incorrectly states in its main goal that the algorithm finds the ""maximum length"" of a contiguous substring, contradicting its own",
java656|java906|deepseek_r1|mbpp_0330|Comment_Dependency,java656,deepseek_r1,mbpp_0330,Comment_Dependency,Functional Inaccuracy,Functional Inaccuracy,yes,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 introduces a boundary error by claiming the word lengths are ""strictly between 3 and 5"" (excluding 3 and 5), whereas the original regex `{3,5}` matches lengths from 3 to 5 inclusively.",
java656|java906|deepseek_r1|mbpp_0663|Comment_Dependency,java656,deepseek_r1,mbpp_0663,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Algorithm Confusion,no,"DESCRIPTION 2 accurately describes the exact same logic, goal, and algorithm as DESCRIPTION 1 without any semantic errors or drift.",
java656|java906|deepseek_r1|mbpp_0850|Comment_Dependency,java656,deepseek_r1,mbpp_0850,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 accurately describes the method's behavior, purpose, and flaws, providing an equivalent and detailed explanation matching Description 1.",
java656|java906|deepseek_v31|mbpp_0464|Comment_Dependency,java656,deepseek_v31,mbpp_0464,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,Description 2 correctly identifies the code's core functionality—checking whether all values in a map match a target value with safe null handling—making it functionally equivalent in correctness to Description 1.,
java656|java906|deepseek_v31|mbpp_0790|Comment_Dependency,java656,deepseek_v31,mbpp_0790,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"Description 2 accurately describes the exact same parity-checking behavior and logic as Description 1, correctly identifying that elements at even/odd indices must be even/odd.",
java656|java906|gemini|mbpp_0136|Comment_Dependency,java656,gemini,mbpp_0136,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 accurately describes the exact same functional logic, pricing tiers, per-unit rates, and surcharges as DESCRIPTION 1 without any error or loss of fidelity.",
java656|java906|glm5|mbpp_0066|Comment_Dependency,java656,glm5,mbpp_0066,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 accurately and correctly describes the code's functionality and logic, making it functionally equivalent to DESCRIPTION 1.",
java656|java906|glm5|mbpp_0411|Comment_Dependency,java656,glm5,mbpp_0411,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Obfuscation Narrative,no,"Description 2 is semantically equivalent to Description 1, correctly identifying the program's main goal, function logic, and edge-case handling for consecutive underscores.",
java656|java906|glm5|mbpp_0737|Comment_Dependency,java656,glm5,mbpp_0737,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 accurately and comprehensively describes the program's logic, regular expression, and output behavior, making it fully equivalent to DESCRIPTION 1 without any comprehension failure.",
java656|java906|gpt4o|mbpp_0346|Comment_Dependency,java656,gpt4o,mbpp_0346,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,"DESCRIPTION 2 provides an accurate and equivalent explanation of the program's base cases, recursive structure (`zigzag(n, k - 1",
java656|java906|gpt4o|mbpp_0645|Comment_Dependency,java656,gpt4o,mbpp_0645,Comment_Dependency,Correct (no failure),Correct (no failure),yes,Correct (no failure),Correct (no failure),yes,DESCRIPTION 2 conveys the exact same functional understanding and method breakdown as DESCRIPTION 1 with no semantic divergence or inaccuracies.,
java250|java250|deepseek_r1|p02403|Comment_Dependency,java250,deepseek_r1,p02403,Comment_Dependency,Functional Inaccuracy,Hallucination,no,Functional Inaccuracy,Functional Inaccuracy,yes,"DESCRIPTION 2 incorrectly claims that the program stores all inputs and cancels all output if any input is invalid, misrepresenting the actual functional execution and output behavior of the code.","The failed description invents non-existent program behavior, claiming that the code stores all input pairs, defers printing until input ends, and completely skips printing if any invalid pair is detected."
java250|java250|deepseek_r1|p02832|Comment_Dependency,java250,deepseek_r1,p02832,Comment_Dependency,Functional Inaccuracy,Algorithm Misunderstanding,no,Functional Inaccuracy,Functional Inaccuracy,yes,"Description 2 incorrectly states the code's goal is to determine ""how many elements are missing from the consecutive sequence"" rather than the minimum number of elements","The failed description incorrectly concludes that the program's goal is to count how many elements are ""missing"" from a sequence, rather than identifying the number of"
java250|java250|mistral|p03632|Comment_Dependency,java250,mistral,p03632,Comment_Dependency,Algorithm Misunderstanding,Functional Inaccuracy,no,Algorithm Misunderstanding,Algorithm Misunderstanding,yes,The model completely misinterprets the interval overlap algorithm as logic for finding minimum/maximum values and calculating differences among four input variables.,
java656|java906|claude_sonnet_5|mbpp_0514|Comment_Dependency,java656,claude_sonnet_5,mbpp_0514,Comment_Dependency,Obfuscation Narrative,Correct (no failure),no,Obfuscation Narrative,Obfuscation Narrative,yes,The model was misled by comment dependencies and identifier names into describing a surface-level narrative of summing array elements rather than analyzing the actual underlying code,
